LON;LAT;FECHA;CALLE;NUMERO;M2;DOLARES;PESOS;U_S_M2;Z_M2;BARRIOS;COMUNA
-58.392011692421683;-34.654160539214082;2012/12/17;SANTO DOMINGO;3200;104.0;85000;;817.3;0.0;BARRACAS;4
-58.498201176868925;-34.611386762826079;2012/12/13;SANTO TOME;3900;592.0;395000;;667.2;0.0;MONTE CASTRO;10
-58.520886083238935;-34.626422881439353;2012/12/13;SANTO TOME;6000;586.0;365000;;622.9;0.0;VERSALLES;10
-58.434329573447812;-34.638509193639287;2012/12/14;SARAZA;1200;5875.0;1650000;;280.9;0.0;PARQUE CHACABUCO;7
-58.479862321765602;-34.671345461298948;2012/12/13;SARAZA;5550;480.0;0;1400000;596.5;2916.7;VILLA LUGANO;8
-58.383576111228464;-34.605236343907315;2012/10/11;SARMIENTO;1200;480.0;1500000;;3125.0;0.0;SAN NICOLAS;1
-58.416034882221794;-34.605809828149525;2012/12/04;SARMIENTO;3600;304.0;650000;;2138.2;0.0;ALMAGRO;5
-58.501444249904679;-34.611497028943141;2012/12/13;SASTRE, MARCOS;4100;315.0;220000;;698.4;0.0;MONTE CASTRO;10
-58.50446194717064;-34.61328662546817;2012/12/13;SASTRE, MARCOS;4400;296.0;350000;;1182.4;0.0;MONTE CASTRO;10
-58.509716164613728;-34.616459475494629;2012/12/11;SASTRE, MARCOS;4800;198.0;0;1500000;1549.2;7575.8;MONTE CASTRO;10
-58.436720065025774;-34.598397447125407;2012/12/13;SCALABRINI ORTIZ, RAUL;500;650.0;1000000;;1538.5;0.0;VILLA CRESPO;15
-58.430188593555087;-34.59421671338373;2012/12/14;SCALABRINI ORTIZ, RAUL;1100;428.0;1200000;;2803.7;0.0;VILLA CRESPO;15
-58.426016762198167;-34.591444693750461;2012/12/14;SCALABRINI ORTIZ, RAUL;1500;277.0;0;1350000;996.6;4873.6;PALERMO;14
